                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4298,                 5.5808,                 1.7919,                0.04369,                0.83333,                0.38158,                0.12277,                 1.8334,                 5.8174,                 2.2139,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2703,                 5.2373,                 1.5712,                0.04369,                0.83333,                0.38158,                0.12277,                 1.8334,                 5.8174,                 2.2139,               0.000614,               0.000614,               0.000614
                     37,                 1.7661,                 3.8052,                 2.2029,                0.04369,                0.83333,                0.38158,                0.12277,                 1.8334,                 5.8174,                 2.2139,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5267,                 5.6213,                 1.7948,                0.04369,                0.83333,                0.38158,                0.12277,                 1.8334,                 5.8174,                 2.2139,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5593,                 3.9133,                 1.8948,                0.04369,                0.83333,                0.38158,                0.12277,                 1.8334,                 5.8174,                 2.2139,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5891,                  3.519,                 2.0263,                0.01837,                0.83333,                0.43347,                0.15372,                 1.5707,                 5.5102,                 1.9817,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3239,                 7.1503,                 1.8852,                0.01837,                0.83333,                0.43347,                0.15372,                 1.5707,                 5.5102,                 1.9817,               0.000416,               0.000416,               0.000416
                     42,                 1.4179,                 5.7336,                 1.7402,                0.01837,                0.83333,                0.43347,                0.15372,                 1.5707,                 5.5102,                 1.9817,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0248,                 7.2724,                 1.2656,                0.01837,                0.83333,                0.43347,                0.15372,                 1.5707,                 5.5102,                 1.9817,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1382,                 7.1545,                 1.4897,                0.01837,                0.83333,                0.43347,                0.15372,                 1.5707,                 5.5102,                 1.9817,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.5794,                 6.0408,                 2.0123,                0.01837,                0.83333,                0.43347,                0.15372,                 1.5707,                 5.5102,                 1.9817,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1582,                 5.8631,                 1.7179,                      1,                0.28989,                0.43105,                0.24086,                 1.4758,                 5.5931,                 1.9074,               0.000218,               0.000218,               0.000218
                     47,                 1.2333,                 6.6648,                  1.746,                      1,                0.28989,                0.43105,                0.24086,                 1.4758,                 5.5931,                 1.9074,              0.0001784,              0.0001784,              0.0001784
                     48,                  1.508,                 6.0831,                 1.9727,                      1,                0.28989,                0.43105,                0.24086,                 1.4758,                 5.5931,                 1.9074,              0.0001388,              0.0001388,              0.0001388
